ds,yhat,yhat_lower,yhat_upper
2017-01-30,16907.369566728215,15329.530464343328,18341.53244813042
2017-01-31,17104.37948604728,15611.280049295066,18639.784754473803
2017-02-01,17002.40803685723,15520.223657375085,18506.90486881785
2017-02-02,16972.62733945825,15503.267906174691,18478.403574354867
2017-02-03,16671.663313304634,15129.10299180813,18068.585509165692
2017-02-04,15448.192976393091,13990.1667807371,16961.725301494716
2017-02-05,14990.18644856203,13435.499708993748,16506.97175596185
2017-02-06,16580.74427716659,15086.09885184902,18093.983034779194
2017-02-07,16801.50625488483,15221.906796181718,18435.767257432206
2017-02-08,16728.131805028952,15203.685068750945,18142.24243173114
2017-02-09,16730.295340687255,15203.821106966989,18195.98498562951
2017-02-10,16463.060513467786,14848.72840751708,17996.84558439122
2017-02-11,15273.52476366143,13751.187264877302,16709.46856183212
2017-02-12,14848.108403076534,13338.421658443158,16463.179198441154
2017-02-13,16468.437497465704,14954.313579645179,17958.389288388917
2017-02-14,16714.795423100586,15194.651216516135,18204.780660877506
2017-02-15,16661.641970799377,15102.116230112684,18069.52258261946
2017-02-16,16677.64232871132,15147.848935369555,18240.782506204912
2017-02-17,16417.068941795944,15019.839671062027,17895.192742088904
2017-02-18,15226.466924452565,13766.845347239181,16824.606782125727
2017-02-19,14791.95672453692,13354.35795240286,16297.179760074585
2017-02-20,16395.12298895751,14845.996007294882,17903.45362940632
2017-02-21,16616.464412530946,15074.880335688653,18178.97371070057
2017-02-22,16530.903575332693,15099.04618372706,17979.3807497244
2017-02-23,16507.7994510439,15092.358902601458,18058.867467642754
2017-02-24,16202.326142881042,14683.195181064675,17683.34056654901
2017-02-25,14962.109271646628,13560.376660327633,16463.994071038742
2017-02-26,14474.49462853381,12939.719323360785,15934.320522919776
2017-02-27,16022.3990955873,14454.585507139123,17464.813955875303
2017-02-28,16187.719774387513,14797.846273826211,17748.993165634525
2017-03-01,16046.801558996145,14580.328525601111,17598.38186711557
2017-03-02,15970.40710116205,14460.606358991196,17537.38167671649
2017-03-03,15615.053987526473,14104.4352437108,17172.939671516015
2017-03-04,14329.611776747784,12793.482734016136,15732.87071962973
2017-03-05,13802.534657175525,12210.86988406243,15397.788394790063
2017-03-06,15317.68076711909,13777.538673970294,16837.083672127454
2017-03-07,15457.695018761173,13895.253223686414,16952.795239218143
2017-03-08,15299.456397753005,13871.590364706906,16760.101469057197
2017-03-09,15214.034237540265,13639.465143603473,16758.902432301522
2017-03-10,14858.018638867756,13330.056453758534,16430.51021351465
2017-03-11,13580.117824086923,12112.729384736907,15006.474180601177
2017-03-12,13068.398116279412,11536.695594242838,14607.280726872687
2017-03-13,14606.117306262,13155.13492183911,16133.269258299706
2017-03-14,14775.127770364883,13245.747774488831,16300.396857980288
2017-03-15,14651.349649524092,13071.206021939779,16070.820826022999
2017-03-16,14604.75776451345,13159.882121425237,16247.970312859225
2017-03-17,14290.746476596836,12666.930245034693,15677.73832499866
2017-03-18,13056.764214443652,11669.969000875057,14569.957289976812
2017-03-19,12589.592213797921,11118.873376861877,14038.729583943545
2017-03-20,14171.217048986622,12658.400242294552,15773.879011047184
2017-03-21,14382.272130894089,12885.29378188412,15833.091220753447
2017-03-22,14297.547324641231,12829.128331120513,15831.060768536065
2017-03-23,14286.009270316516,12756.769986138286,15699.682501204816
2017-03-24,14002.195622758793,12537.65184925253,15596.035971408255
2017-03-25,12792.874065526803,11242.365907375122,14207.360160703121
2017-03-26,12344.339932915747,10923.75202268984,13781.903066319155
2017-03-27,13938.301480227348,12429.8159449988,15380.073551220195
2017-03-28,14155.327627430881,12717.317829687565,15686.27573426303
2017-03-29,14070.357178786548,12465.702585179315,15482.843642334954
2017-03-30,14052.71215403939,12444.083862969354,15650.45827296024
2017-03-31,13757.478699607233,12201.426782021663,15231.77683854943
2017-04-01,12532.14687937619,11059.859263555249,14080.08046674937
2017-04-02,12063.883801118234,10647.10910625518,13554.560140357064
2017-04-03,13635.389899385473,12152.14314701079,15108.423549285815
